question_name,task_name,type,behaviour,ignore
prefer_risk_safe,prefer_risk_safe,word,risky_safe,false
describe_risk_tolerance_behavior,describe_risk_tolerance_behavior,word,risky_safe,true
score_risk_safe,score_risk_safe,score,risky_safe,true
which_attitude,which_attitude,word,risky_safe,true
attitude_towards_risk,attitude_towards_risk,word,risky_safe,false
choice_between_lotteries,choice_between_lotteries,word,risky_safe,false
how_much_you_like_risk,how_much_you_like_risk,score,risky_safe,false
risk_predisposition,risk_predisposition,score,risky_safe,false
preference_risk_0_100,preference_risk_0_100,score,risky_safe,false
risk_safe_german_french_gpt4o_guess,risk_safe_german_french,word,risky_safe,false
risk_safe_german_french_llama_guess,risk_safe_german_french,word,risky_safe,false
